D00654_at	851.1	360.5	64.7	1	1	1	550	1	20.1	20	172.9	140.2	55.8	297.5	174.6	257.4	427	62.4	241.6	34	2609.9	418.1	327.4	1	48.3	15.6	576.2	1	1	1
D00723_at	137.7	47.6	103.8	1	1	71.5	1	76.7	96	1	1	1	84.3	67.1	35.1	26.2	199.2	38.1	1	25.2	10.65	316.9	49.8	138.5	85	98.4	96.1	34.6	101.4	48.5
D00726_at	98.5	154.4	52.8	124.3	1	75.3	79	91	49.4	96.1	1	90.8	73.1	49.3	62.1	58.6	74.3	70.3	1	25.3	55.4	155.7	39.4	66.3	143.3	88.8	79.4	119.5	92.2	57.4
D00760_at	576.3	336.3	227.8	528.7	616.4	468	373.7	598.2	275.1	276.1	548.3	204.7	315.1	430.5	412	387.4	390.7	350	240.3	457.4	266.7	571.5	472.5	667.5	861.9	414.8	563.4	497.3	517.3	268.8
D00761_at	722.9	590.8	591.9	692.5	1061.9	1024.9	782.2	1232.5	958.5	839.7	858.7	760.2	875.9	697.9	763.6	546.3	620.6	451.3	516.4	1123	538.8	795.2	1144.5	938.8	542.8	736.8	774.4	1080	1172.8	539.6
D00762_at	483.7	363.5	338.2	443.4	544.1	566.9	395.7	610.4	354.6	377.3	520.3	298.4	471	321.2	358.9	394	339.5	297.9	408.4	334.9	225.7	641	584.5	712.4	387.1	428.6	553.5	307.8	662.2	277.5
D00763_at	655.6	620.6	632.2	850.6	1032.1	737.9	891.6	591.3	525.7	566.1	976.4	566.7	916.2	621.7	677.1	670.3	471.8	428.5	575.1	1550.9	415.7	711.3	1081	800.1	684	698.7	852.8	490.2	986.6	469.9
D00860_at	91.3	81.1	67.6	83.7	70.8	95.4	100	92.7	99.6	113	87.4	52	134.4	87.6	124.2	98.9	1	89.8	99.3	114.3	58.6	126.3	49.2	97.1	71.3	98.4	123.1	117	131.8	113.7
D10040_at	206.2	116.4	165	482.9	1	177	153.4	389.1	148.2	175.5	83.9	1	58.6	137.3	65.4	122.5	75.9	1	1	111	727.6	410.8	219.4	129.2	829.6	305.2	253.9	54.8	138.9	99.3
D10495_at	248.5	457.9	309.4	517.8	537.8	279.8	673.3	269.5	791.4	441.6	383.1	382.6	56.5	689.2	267.5	371.6	474.9	371	147.1	119.6	355.2	223.5	426.7	556	100.1	502.1	285.2	588.5	527.9	441.3
D10522_at	780.9	1209.7	760.5	1210.1	528	328	869.5	1065.1	622.4	421.1	999.7	974.6	995.2	599.9	922.9	525.7	636.8	287.7	378.4	366.5	435.6	1040.1	1276.9	1274.3	1055.6	1403.9	1343.9	1059.7	1343.3	541.2
D10523_at	238.8	266.7	197.1	197.3	1	195.5	103.3	280.1	215.8	168.6	1	291.9	280.9	254.2	391.5	302.5	180.5	484	209.7	240.1	215.7	148.8	179.5	263.7	349.8	236.1	214.5	322.2	217	214.7
D10656_at	116.2	161.2	1	235.6	1	160.6	128	168.7	127.4	55.1	1	120.5	1	1	140.2	1	133.7	1	1	83.4	110.2	90.9	61.5	119.5	1	97.1	69.5	212.3	94.2	1
D10923_at	88.8	88.3	1	306.9	1	96.4	101.9	239.7	354.3	153.6	209.5	175.1	362.7	364.4	229.2	1	194.6	1	325	530	3093.8	143.4	119.2	253.1	93.9	40.2	1	29.8	53.7	105.7
D11094_at	499.6	153.7	333.4	235.3	235.7	263	263.7	469	968	430.2	426	189.6	524.1	493.4	357.4	431.1	333.7	315.4	378.5	296.4	243.2	652.4	427.7	532.7	383.8	293.3	574.5	295.1	405.2	137.3
D11428_at	793.6	237.1	113.4	1	1	254.4	148.7	222.8	1	1.25	1	1	197	363.9	284.1	381.4	202.6	144.1	379.5	96.9	1245.1	864.9	89.5	1	554.9	51.5	420.7	1	1	1
D12775_s_at	96.3	111.6	1	1	1	1	1	1	58.4	82.1	102	75.4	27.7	66.9	137.6	47.3	59.7	68.9	69.4	103.7	42.3	66.6	75.3	64.8	42.8	74	62.7	94	59.2	94.6
D13118_at	671.6	820.1	1697.2	1055.7	565.2	884.9	656.3	863	1262.1	832.3	1079.5	739.1	1022.2	1181.6	567.6	740.1	1145.3	1011.6	902.5	645.8	632.3	668.2	663.3	653	635.7	506.1	495.6	511.9	917.8	684.5
